mname,date,Inactive Users,1st Time Openers,First Open %,Opens From 1st Users,Opens per New User,Total Opens,% of Opens From New Users,1st Time Clickers,First Click %,Clicks From 1st Users,Clicks per New User,Total Clicks,% of Clicks From New Users
Major Sweeps 3,10/25/2022 0:00,66245,93,0.09,184,3.23,"67,350",0.27,93,0.14,133,1.43,"2,058",6.46
giftcardgrabber,10/25/2022 0:00,17665,90,0.4,197,2.77,"13,180",1.49,90,0.51,133,1.48,"1,356",9.81
SigN,10/25/2022 0:00,111903,88,0.07,133,1.82,"4,985",2.67,88,0.08,109,1.24,591,18.44
Major Sweeps 2,10/25/2022 0:00,7193,81,0.91,397,6.02,"58,857",0.67,81,1.11,146,1.8,"2,967",4.92
InstantWinnerSweeps,10/25/2022 0:00,56,8,9.38,19,3.17,41,46.34,8,12.5,15,1.88,20,75
Sig. Surveys (GF Marketing),10/25/2022 0:00,12992,78,0.35,228,4.96,"64,791",0.35,78,0.6,138,1.77,"2,459",5.61
GiftCardGrabber,10/25/2022 0:00,5249,77,0.98,336,6.46,"156,041",0.22,77,1.45,155,2.01,"7,681",2.02
Sig (Dave),10/25/2022 0:00,23942,72,0.23,337,6.02,"119,785",0.28,72,0.3,141,1.96,"5,586",2.52
MajorSweeps,10/25/2022 0:00,38778,66,0.12,173,3.6,"62,225",0.28,66,0.17,103,1.56,"2,125",4.85
Major Sweeps 4,10/25/2022 0:00,10002,64,0.51,197,3.86,"33,506",0.59,64,0.64,102,1.59,"1,604",6.36
GiftCardGrabber A,10/25/2022 0:00,5327,63,0.98,409,7.72,"20,381",2.01,63,1.17,140,2.22,"1,673",8.37
Signature 2019,10/25/2022 0:00,93422,63,0.05,147,3.27,"97,671",0.15,63,0.07,87,1.38,"4,759",1.83
Sweepsgen2,10/25/2022 0:00,54780,54,0.07,159,4.3,"88,900",0.18,54,0.1,79,1.46,"3,566",2.22
gcgSGRB,10/25/2022 0:00,8888,53,0.5,121,2.69,"45,153",0.27,53,0.59,73,1.38,"2,426",3.01
