Template,mname,Subject,date,Inactive Users,1st Time Openers,First Open %,1st Time Clickers,First Click %
1026_22_internal_sig 12am ?????,GetPaidToTry TRG SDR,{{first_name}} you have a message in your inbox,10/26/2022,25025,138,0.548424274,130,0.516795866
1026-22-Siginternal(CREATIVE#6)-(3NEW)(OPEN),GIFTCARDGRABBER MIKD FROG,???? ((open asap)) confirm your account,10/26/2022,5368,118,2.150929639,147,2.665457842
Day 0 - GPTT INTERNAL (#1 EMAIL),GIFTCARDGRABBER MIKD FROG,confirm your email,10/26/2022,16394,98,0.594227504,72,0.437264667
1026-22-Getpaid-Internal-(Creative#8)-Email_exists,SigM1 FROG,please confirm your email ????,10/26/2022,26382,92,0.347510765,111,0.418978598
1026-22-Getpaidtotry-Internal(Plain.Creative)--EE,giftcardgrabber FROG,please activate your email ????,10/26/2022,15869,89,0.557713999,105,0.657318142
1026-22-$25ScratchCard-(Creative#7)-EE,Major Sweeps 4 FROG,(1)you have a message in your inbox,10/26/2022,98750,76,0.076902839,123,0.124402011
1026  - (ZinQ) Test & Keep the New iPhone 12 v1 - CPA (U)- [YR] -  EE,GPTTN DRAGON,"???? Hello, we sent you message ping",10/26/2022,17375,72,0.412678397,81,0.464023831
1026 - Email-Exists-Internal-Scratch [new] [account]  ? [ Email Exist] (2),SigN DRAGON,Activate your account,10/26/2022,111225,70,0.062895907,88,0.079056355
1026_22_fluent_paypal250 4am ????????,GetPaidToTry TRG SDR,{{first_name}} your PayPal offer is here...,10/26/2022,13498,61,0.449885685,72,0.530582167
1022 - (ZinQ) Test & Keep the New iPhone 12 v1 - CPA (U) - 1AM,GPTTN2 DRAGON,???? We sent you message ping,10/26/2022,50448,58,0.114837841,70,0.138564472
1026_22_internal_sig_12am ?????,GPTTco SDR,"{{first_name}} you have a message in your inbox, see here",10/26/2022,31080,49,0.15740949,50,0.160616768
1026-22-Siginternal(CREATIVE#6)-(4NEW)(OPEN),MajorM2 FROG,???? ((open asap)) confirm your account,10/26/2022,20977,42,0.199819211,65,0.308905998
Day 0 Clickwork7 - Cashapp Vs Paypal,GPTTN DRAGON,Cash App deposit or PayPal GC - You get to choose,10/26/2022,2587,41,1.560121766,36,1.372474266
GetPaidToTry-(Creative#SA)-Inactive Clicker WorkFlow,MajorM2 FROG,please confirm your email,10/26/2022,32699,39,0.119127619,91,0.277523635
102622 ZT OW1HM T1 (1:00am) / Email Exists ?,GPTTZ1 PNT,{{first_name}} Congrats! Your H&M Gift Card invite is pending!,10/26/2022,59748,34,0.056873306,47,0.07860189
Sig Internal(PLAINCREATIVE)-NEW WorkFlow ????????,SignatureSurveys FROG,[1] your account needs confirmation,10/26/2022,1596,34,2.085889571,31,1.905347265
1026_22_internal_sig_7am ????? (???? emoji test) (2GXW-1026-smr-sig),GPTTco SDR,???? Activate your account {{date}},10/26/2022,15055,32,0.212103135,41,0.271595125
230AM - 1026 - GPTT Internal 2.7 (aggresive) ?  [Email Exist],Signature 2019 DRAGON,???? confirm your email,10/26/2022,93331,32,0.03427482,35,0.03748688
